fid             , centroid_lat         , centroid_lon      , phaq, phkc, area    , county                                                                         , county_iso
ken_soil_ph.1   , 5.165039319246914    , 35.36799708697331 ,  8.0,  6.9, 0.220366, Eastern Equatoria الاستوائية الشرقية                                           , SS-EE
ken_soil_ph.2   , 5.101475256284636    , 35.674074945410055,  9.1,  8.1, 0.05905 , Eastern Equatoria الاستوائية الشرقية                                           , SS-EE
ken_soil_ph.3   , 5.05938047732152     , 35.82796910823764 ,  7.9,  7.2, 0.016689, ደቡብ ኢትዮጵያ ክልላዊ መንግስት South Ethiopia Regional State ولاية جنوب إثيوبيا الإقليمية, 
ken_soil_ph.5   , 5.016486189281491    , 35.01507700025764 ,  7.9,  7.2, 0.015205, Eastern Equatoria الاستوائية الشرقية                                           , SS-EE
ken_soil_ph.6   , 5.006009979571135    , 35.25431520885513 ,  7.7,  6.9, 0.004159, Eastern Equatoria الاستوائية الشرقية                                           , SS-EE
ken_soil_ph.7   , 4.59270187610315     , 35.653830452546494,  8.0,  6.9, 0.108965, Turkana                                                                        , KE-43
ken_soil_ph.11  , 4.729390166661495    , 35.01937566169312 ,  9.1,  8.1, 0.029   , Eastern Equatoria الاستوائية الشرقية                                           , SS-EE
ken_soil_ph.12  , 4.574337428079993    , 34.65618999562875 ,  9.1,  8.1, 0.156506, Turkana                                                                        , KE-43
ken_soil_ph.13  , 4.883181331085532    , 35.12685542204676 ,  7.7,  6.9, 0.011298, Eastern Equatoria الاستوائية الشرقية                                           , SS-EE
ken_soil_ph.14  , 4.674135572973799    , 35.09546904700415 ,  8.0,  6.9, 0.055064, Eastern Equatoria الاستوائية الشرقية                                           , SS-EE
ken_soil_ph.18  , 3.9459879822084436   , 35.22866601295756 ,  8.0,  6.9, 0.268425, Turkana                                                                        , KE-43
ken_soil_ph.20  , 4.014257082123868    , 35.52290135070004 ,  7.7,  6.9, 0.249088, Turkana                                                                        , KE-43
ken_soil_ph.25  , 4.6317774840571495   , 35.15560959328801 ,  9.2,  8.2, 0.002125, Eastern Equatoria الاستوائية الشرقية                                           , SS-EE
ken_soil_ph.26  , 4.182499571995748    , 34.90730455520339 ,  7.9,  7.2, 0.141568, Turkana                                                                        , KE-43
ken_soil_ph.27  , 4.508960422319226    , 34.57830359987716 ,  7.9,  7.2, 0.017708, Turkana                                                                        , KE-43
ken_soil_ph.30  , 4.404585313486013    , 34.4588676990141  ,  8.0,  6.9, 0.024248, Turkana                                                                        , KE-43
ken_soil_ph.31  , 4.388825390250375    , 34.38894666796699 ,  9.2,  8.2, 0.013223, Turkana                                                                        , KE-43
ken_soil_ph.32  , 4.353963337607701    , 34.30882257047151 ,  8.0,  6.9, 0.01389 , Turkana                                                                        , KE-43
ken_soil_ph.36  , 4.343587946570429    , 34.24980696638518 ,  7.9,  7.2, 0.007046, Turkana                                                                        , KE-43
ken_soil_ph.38  , 4.2748625935411635   , 34.17157995022592 ,  9.1,  8.1, 0.031632, Eastern Equatoria الاستوائية الشرقية                                           , SS-EE
ken_soil_ph.42  , 4.437536421529336    , 36.66863485192832 ,  8.5,  7.3, 0.000662, Marsabit                                                                       , KE-25
ken_soil_ph.44  , 4.118624364598469    , 36.36361526978203 ,  7.8,  7.0, 0.139502, Marsabit                                                                       , KE-25
ken_soil_ph.45  , 4.414402669680686    , 36.717194820234994,  9.0,  6.6, 0.002809, Marsabit                                                                       , KE-25
ken_soil_ph.46  , 4.3604074706466704   , 35.17194128396175 ,  9.2,  8.2, 0.005999, Turkana                                                                        , KE-43
