county,county_iso,region_count
Marsabit,KE-25,141
Turkana,KE-43,121
Kilifi,KE-14,99
Kajiado,KE-10,86
Homa Bay,KE-08,74
Tana River,KE-40,71
Kitui,KE-18,69
Wajir,KE-46,60
Taita Taveta,KE-39,59
Kwale,KE-19,49
Samburu,KE-37,42
West Pokot,KE-47,41
Isiolo,KE-09,39
Uasin Gishu,KE-44,37
Laikipia,KE-20,35
Baringo,KE-01,28
Narok,KE-33,26
Lamu,KE-21,26
Bungoma,KE-03,25
Elgeyo-Marakwet,KE-05,25
Garissa,KE-07,24
Machakos,KE-22,23
Makueni,KE-23,23
Kisii,KE-16,21
Nakuru,KE-31,20
Kakamega,KE-11,18
Kisumu,KE-17,17
Meru,KE-26,16
Embu,KE-06,15
Siaya,KE-38,15
Nandi,KE-32,11
Kericho,KE-12,10
Nyandarua,KE-35,9
Murang'a,KE-29,8
Mombasa,KE-28,8
Tharaka-Nithi,KE-41,8
Bomet,KE-02,8
Mandera,KE-24,7
Busia,KE-04,6
Nairobi,KE-30,5
Migori,KE-27,5
Trans Nzoia,KE-42,5
Nyeri,KE-36,3
