Feature,Regressor,Classifier
pH,0.2872306137856886,0.15771393235421147
Longitude,0.11240992662672461,0.10710153642684758
Latitude,0.07926829995078802,0.07881617934306523
elev_m,0.07665956985912058,0.08601371317361058
rain_2025_short_mm,0.055422772364682876,0.05506061246248453
rain_dry_fraction,0.04208715014842079,0.05172368240170999
rain_2025_dry_mm,0.030577768315715403,0.037783340618397575
ndvi_2025_modis,0.029340071147912712,0.03988272855259336
s1_vv_minus_vh,0.028986289887983477,0.038646933171560156
rain_2025_long_mm,0.02641018362864232,0.028789647986899217
s1_vh_med,0.02609534839586108,0.037461822467382874
sar_ratio,0.026004040843838755,0.03505275434106825
slope_deg,0.025794389512189684,0.03577744937705526
elev_slope_ratio,0.0253246373964474,0.03509538898277496
rain_2025_total_mm,0.024528816616374956,0.029835903434461835
ndvi_rain,0.024364938828998803,0.03338907591964136
s1_vv_med,0.023777884548267406,0.03257792321624817
clay_sand_ratio,0.02328258770497697,0.033630074790699974
sand_pct,0.014593711831493078,0.020431061944409468
clay_pct,0.013220719629998679,0.01929513090308466
landcover,0.004620278975873754,0.005921108131793451
