name                                , lat         , lon         , products     , prices
Nnnn                                ,-1.5117552,37.2668997," NPK, CAN, DAP"," 60,55,70"
Teso                                ,-1.5119642,37.2669725," NPK, CAN, DAP"," 60,55,70"
GOODWILL FAMERS AGROVET             ,0.493122,34.1335989," NPK, CAN, DAP"," 60,55,70"
Farm Choice Agrovet                 ,0.4731916,34.1881309," NPK, CAN, DAP"," 60,55,70"
Kemodo Agrovet                      ,0.467253065,34.18603331," NPK, CAN, DAP"," 60,55,70"
Kkk                                 ,12.62663919,34.16813929," NPK, CAN, DAP"," 60,55,70"
GEOIMA FARMERS SHOP                 ,0.4948617,34.1332433," NPK, CAN, DAP"," 60,55,70"
AGROPHOS AGROVET                    ,0.4928717,34.1334033," NPK, CAN, DAP"," 60,55,70"
SHILOH AGROVET                      ,0.536719273,34.12750583," NPK, CAN, DAP"," 60,55,70"
KELMWA INVESTMENT                   ,0.517726685,34.14427534," NPK, CAN, DAP"," 60,55,70"
Farm Land Mungatsi                  ,0.469204978,34.31572918," NPK, CAN, DAP"," 60,55,70"
Silton                              ,0.469204978,34.31600813," NPK, CAN, DAP"," 60,55,70"
Alivantures agrovet                 ,0.6094191,34.2395703," NPK, CAN, DAP"," 60,55,70"
One Acre Fund                       ,0.4481586,34.1396465," NPK, CAN, DAP"," 60,55,70"
New Buyofu                          ,0.479095285,34.3814604," NPK, CAN, DAP"," 60,55,70"
One Acre Fund                       ,0.3640098,34.167091," NPK, CAN, DAP"," 60,55,70"
KILIMO AGROVET                      ,0.2237671,34.0211263," NPK, CAN, DAP"," 60,55,70"
Agrarian Agro Supplies              ,0.4556566,34.1257609," NPK, CAN, DAP"," 60,55,70"
Maize                               ,0.5395803,34.2603935," NPK, CAN, DAP"," 60,55,70"
Favor boutique/agrovet              ,0.3061472,34.0935459," NPK, CAN, DAP"," 60,55,70"
Wakulima agrovet                    ,0.4477459,34.1446758," NPK, CAN, DAP"," 60,55,70"
Teresia onyapidi agrovet            ,0.563298069,34.27219961," NPK, CAN, DAP"," 60,55,70"
Multidose Agro Supplies Ltd         ,0.4604002,34.1142436," NPK, CAN, DAP"," 60,55,70"
Multidose Agro Supplies Ltd         ,0.4601167,34.1141333," NPK, CAN, DAP"," 60,55,70"
Mkulima Shop                        ,0.4497641,34.1397286," NPK, CAN, DAP"," 60,55,70"
Mavuno Farm Care                    ,0.2788384,34.1196822," NPK, CAN, DAP"," 60,55,70"
Matayos Agrovet                     ,0.366065,34.1650117," NPK, CAN, DAP"," 60,55,70"
Samia Agrovet                       ,0.2786592,34.119042," NPK, CAN, DAP"," 60,55,70"
Happiness Agro-shop                 ,0.3661224,34.1649181," NPK, CAN, DAP"," 60,55,70"
Dojaa Supplies Agrovet              ,0.364739,34.165302," NPK, CAN, DAP"," 60,55,70"
Duka la mkulima Matayos             ,0.365445818,34.16566662," NPK, CAN, DAP"," 60,55,70"
Matayos Modern Farm Inputs          ,0.364086,34.1659825," NPK, CAN, DAP"," 60,55,70"
Truelis kilimo agrovet              ,0.3761853,34.263988," NPK, CAN, DAP"," 60,55,70"
Onat Farm Store                     ,0.3025761,34.206202," NPK, CAN, DAP"," 60,55,70"
MAGHARIBI HARDWARE AND FARM SUPPLIES,0.3358077,34.2581297," NPK, CAN, DAP"," 60,55,70"
BUKIRI AGROVET &AQUA SHOP           ,0.227698,34.0877951," NPK, CAN, DAP"," 60,55,70"
NAIROBI AGROVET                     ,0.3342229,34.2586416," NPK, CAN, DAP"," 60,55,70"
FAIRDEAL AGROVET                    ,0.3347022,34.2591832," NPK, CAN, DAP"," 60,55,70"
TUMAINI AGROVET                     ,0.3347329,34.258045," NPK, CAN, DAP"," 60,55,70"
Wibiliv                             ,0.3045746,34.2034379," NPK, CAN, DAP"," 60,55,70"
FARMER'S CHOICE                     ,0.3343083,34.256235," NPK, CAN, DAP"," 60,55,70"
Amani Agrovet                       ,0.483104711,34.21977416," NPK, CAN, DAP"," 60,55,70"
FARM INPUTS                         ,0.3183762,34.2792613," NPK, CAN, DAP"," 60,55,70"
Matayos Farmers Service Center      ,0.3512455,34.1797011," NPK, CAN, DAP"," 60,55,70"
One acre fund                       ,0.556428,34.2662925," NPK, CAN, DAP"," 60,55,70"
Moding agrodealers                  ,0.7537517,34.3559917," NPK, CAN, DAP"," 60,55,70"
Yuhb                                ,0.2462987,34.0297993," NPK, CAN, DAP"," 60,55,70"
Crops                               ,0.52274,34.3893117," NPK, CAN, DAP"," 60,55,70"
Nairobi agrovet                     ,0.336108031,34.26098865," NPK, CAN, DAP"," 60,55,70"
Mwalimu agrovet                     ,0.35111472,34.2211394," NPK, CAN, DAP"," 60,55,70"
Julies hardware                     ,0.335653404,34.26284272," NPK, CAN, DAP"," 60,55,70"
MURUMBA AGROVET                     ,0.334646,34.2585147," NPK, CAN, DAP"," 60,55,70"
FAIR DEAL AGROVET                   ,0.3342698,34.2551842," NPK, CAN, DAP"," 60,55,70"
NEEMA                               ,0.2701811,34.0568429," NPK, CAN, DAP"," 60,55,70"
Lukolis agrovet                     ,0.5802195,34.2046259," NPK, CAN, DAP"," 60,55,70"
Naburi Cereal                       ,0.3503017,34.1804883," NPK, CAN, DAP"," 60,55,70"
BUSAGWA MKULIMA INPUT               ,0.1063644,34.0579243," NPK, CAN, DAP"," 60,55,70"
MARACHI HARDWARE OLOO               ,0.327698,34.3071701," NPK, CAN, DAP"," 60,55,70"
