simpliedtexture(1),ph,n,p,k,o,ca,mg,cu,fe,zn,soilfertilitystatus,croprecommendation1,croprecommendation2,fertilizerrecommendation1,fertilizerrecommendation2
19,-1.3140420698306583,-0.06264515656497718,-0.42564641065793285,-2.831821508642245,-0.18498796546927773,-0.779966251420698,1.0323778079590942,-0.9991399754845693,-1.895471259945307,-0.24481825291627857,2,6,5,0,0
9,0.06281929999845359,-0.06264515656497718,0.8678932469214702,-2.3740310240079783,0.09636255235471886,-0.4723115293393245,0.8160371105661576,-0.9991399754845693,1.2835161781180997,-0.4786465747083304,0,3,0,0,0
17,0.40703464245573195,-0.0350785310138321,-0.3777375344512876,-1.9514551920378862,1.2217646236507056,-0.5953734181718738,1.6813999001379034,-0.9991399754845693,-1.895471259945307,0.22283839066782601,0,3,0,0,0
9,0.06281929999845359,0.020054720088458107,1.0834831898513702,-1.6697379707244915,1.2217646236507056,0.1429979148234222,1.0323778079590942,-0.9991399754845693,0.2616987873120045,0.8074091951479563,0,3,0,0,0
3,0.06281929999845359,-0.06264515656497718,0.8678932469214702,-2.3388163713438037,1.362439882562704,0.3891216924885212,-0.6983477711843986,-0.9991399754845693,0.6023045842473702,0.573580873355904,0,3,0,0,0
18,0.06281929999845359,-0.02129521823825954,1.0834831898513702,-0.789371654120133,1.0810893647387072,-0.10312586284167649,0.38335571578028405,-0.9991399754845693,-0.6465833378489694,2.5026645281403344,0,16,10,0,0
14,0.40703464245573195,-0.007511905462687015,0.6043944277849249,-2.690962897985547,0.9404141058267086,0.08146697040714773,0.5996964131732208,0.029310848483078158,1.510586709408342,-0.06944701157223909,0,5,6,0,1
3,0.06281929999845359,-0.0350785310138321,-0.42564641065793285,0.9713609790885842,-0.04431270655727959,-0.2261877516742257,-0.48200707379146185,1.57198708443455,0.7158398498924915,1.9765508041082167,0,3,0,0,0
8,-0.10928837123018637,-0.04886184378940466,-1.2640517442742123,-0.789371654120133,0.09636255235471886,-0.4107805849230499,1.0323778079590942,-0.9991399754845693,0.942910381182734,1.5673512409721249,1,3,0,0,0
3,-0.45350371368746323,-0.06264515656497718,-0.35378309634796584,0.9361463264244099,0.237037811266717,-0.9030281402532473,0.8160371105661576,-1.5133653874683926,1.2835161781180997,0.45666671245987783,1,8,3,0,1
3,-1.14193439860202,-0.10399509489169484,0.8678932469214702,0.5135704944543181,0.237037811266717,-0.9030281402532473,0.16701501838734784,-0.9991399754845693,1.0564456468278551,-0.3032753333642914,2,6,5,0,0
14,-0.45350371368746323,-0.04886184378940466,-0.11423871531474318,0.407926536461795,-0.04431270655727959,-0.8414971958369727,-1.1310291659702716,0.029310848483078158,0.488769318602247,-0.7124748965003826,1,8,3,0,1
3,0.06281929999845359,-0.0350785310138321,0.6523033039915692,0.4431411891259694,-0.18498796546927773,0.3891216924885212,0.8160371105661576,1.57198708443455,0.6023045842473702,-0.7709319769483954,0,3,0,0,0
8,0.5791423136843704,0.06140465841517575,2.0177062758809394,0.4431411891259694,1.2217646236507056,2.296580969393036,2.979444084495523,-0.484914563500745,0.37523405295712575,-0.3617324138123042,0,1,2,0,0
14,0.7512499849130088,0.06140465841517575,1.5625719519178156,-0.789371654120133,1.362439882562704,0.3275907480722464,0.16701501838734784,2.086212496418374,0.6023045842473702,-0.6540178160523693,0,1,2,0,0
