property    , unit    , original_name           , measurement_count, mean_value           , std_value           , min_value         , max_value      , upper_depth_cm, lower_depth_cm
Al          , g/kg    , Total Aluminium         ,              5107,  85.36335799331697   ,  26.477705618009214 ,  11.296875        ,  140.75        ,              0,             20
CEC         , mmol+/kg, Cation Exchange Capacity,              5107, 162.3005095059415    , 122.30325505517128  ,  15.0             ,  795.0         ,              0,             20
CN          ,         , C/N ratio               ,              8612,  12.98932152868805   ,   1.610408320020249 ,   6.8984375       ,   22.40625     ,              0,             20
Ca          , ppm     , Calcium                 ,             11876, 592.1192274101238    , 418.0093071793642   ,   0.0             , 3000.0         ,              0,             20
Cu          , mg/kg   , Copper (M3)             ,              5107,   2.293915196217732  ,   1.4608352183973594,   0.0             ,   12.6015625   ,              0,             20
Fe          , g/kg    , Total Iron              ,              5107,  58.86975580043018   ,  27.470804304996488 ,   2.900390625     ,  130.125       ,              0,             20
K           , ppm     , Exchangeable K          ,             16743,  89.60343212139755   ,  83.90804203726961  ,   0.0             ,  600.0         ,              0,             20
Mg          , ppm     , Magnesium               ,             13082, 109.72029656360937   ,  78.18444421985653  ,   0.0999755859375 ,  500.0         ,              0,             20
N           , %       , Total Nitrogen          ,             13716,   1.1444301889450659 ,   0.7463663260799789,   0.05999755859375,    8.5         ,              0,             20
OM          , %       , Organic Matter          ,              8614,   4.832090692912978  ,   1.604592216790058 ,   0.5             ,   17.5         ,              0,             20
P           , mg/kg   , Phosphorus (M3)         ,             10128,  14.367867339090536  ,  14.810694609707289 ,   0.0             ,   99.8125      ,              0,             20
S           , g/kg    , Total Sulphur           ,              5107,   0.19480960776092382,   0.1306376653026651,   0.0             ,    1.2001953125,              0,             20
Si          , g/kg    , Total Silicium          ,              5107, 264.255929366687     ,  54.39024494515542  , 149.0             ,  438.0         ,              0,             20
Zn          , mg/kg   , Zinc (M3)               ,              5107,   3.099821303334568  ,   3.2936571249245787,   0.0             ,   62.5         ,              0,             20
clay        , %       , Clay                    ,              5107,  45.75936728460533   ,  20.971502656969943 ,   0.0             ,   89.0         ,              0,             20
occ         , g/kg    , Organic Carbon          ,              5107,  21.322289464089963  ,  11.653979621479962 ,   1.599609375     ,   99.625       ,              0,             20
pH          ,         , pH                      ,             13721,   6.17991094762925   ,   0.7810813062378479,   4.30078125      ,    9.1015625   ,              0,             20
sand        , %       , Sand                    ,              5107,  32.6144826714207    ,  20.228817072114904 ,   2.0             ,   88.0         ,              0,             20
usda_texture,         , Soil Texture            ,             13041,   3.38709038407543   ,   2.8973078192594337,   1.0             ,   12.0         ,              0,             20
